polarity;text
positive;obligacin gobiern turn just presi dirig fond pblic mejor requ
positive;buen libert prens ecuador reconoc internacional buen gobiern
positive;exit millon bendicion sr president
positive;mil respuest tweet busc slo agradec seor president moren qued gan prxim
positive;seman peguch hermos serran ecuatorian invit visit
positive;ecuador referent tem discapac tambin mbit democraci derech human
positive;labor seor quier caos gener alegr ciudadan
positive;cit gandhi pedfil ah detrs bonit palabr cit jesucrist sabi aus enseanz mejor
positive;graci presi bienest social econm ecuatorian salud manab 
positive;divers natural cultural abarc pram bosqu nubl lag volcan activ term merc indgen ciudad puebl haciend colonial hermos sierr
positive;lcdo moren reparacin carreter riobamb bucay desastr huec porhend bastant accident pong atencin ped graci
positive;graci presi compart hermos notici 
positive;brav pre moren puebl ecuatorian tom palabr consecuent alcanz met requier gent dcad desperdici empiec cas retir sig dao pas
positive;empez caer
positive;defensor caus just mandel viv corazn mund algui inces consigui respet reconoc
positive;brav mashi sue ms echo realid import inaugur cuntic obras raf corre victori 
positive;tis directric pasal plan gobiern ejecuteclar real pur verb 
positive;ecuador crec graci gestin transparent realiz mund ecuador cambi xit gir president
positive;pequeit pas zon redescubr invit enamor 
positive;ejempl romp barrer estigm diosit sig dand fuerz 
negative;galpag internet provinci turstic gener ingres maltrat sent ofrec fibr ptic lleg culmin period seor president
negative;londr verguenz traidor amer
negative;vergenz incompetent lam bot imperi seor ecuatorian dignid conocers traidor
negative;aument pobrez
negative;lleg corre pas asta reyn pap autor mayor recib conform embaj ecuador jajajjaj
negative;presidentit minscul escond detrs sill rued caerl pobr incaut realid vividor manipul ah fotit suiz
negative;par cas paraplj cerebr
negative;llam prens ecuador patolg caradur
negative;consistent ideal traidor ud
negative;docent patri merezc respet invit veng viv median miser sueld ganopont dnde estn ofert campa cans ineptitud ineficient
negative;pobr vag vend patri
negative;obra corre slo traicin slo pid dios enga indiferent traidor ms olvid fcilment
negative;invert gobiern nisiqu ecuatoriani regres pas tant pendej juec delincuent sal veo tub president veo tub
negative;desleal mayori migrant rein unid rechaz 
negative;muer traidor ek infiern esper
negative;extra tridor
negative;oracion espos robolucionari cieg seguidor carlit ali mashi orden captur 
negative;encarg proyect sigu rued corre quis retir apoy
negative;ecuafor regal mafi ciempr derech saqueador lind lleb ves abism vergenz president
negative;besti autcrat actual tull mental dej habl tant pendej madur
neutral;millon km correct pregunt
neutral;fcil invit mes serv actual ide
neutral;docent ecuador padr famili campesin obrer organiz social movimient frent ped sr lic moren design dr ministr educacin 
neutral;ciudadan dim vot consult popul hag orden favor 
neutral;patacon 
neutral;dilog confirm nios comun seb hospital pacient escap brom cos gobiern 
neutral;culp mashi sac pech logr dcad gan 
neutral;graci obras puebl ud cre mentir
neutral;funcionari correism olvid fuerz ley 
neutral;apell quin est mal aclar critic
neutral;dig xq veo
neutral;deshazt terribl equipaj rencor resent venganz malet ardu camin dificult viaj permit her cicatric sultal camin
neutral;migrant retorn mes cancilleri demuestr hech cas contrari call esper esper compaer migrant familiar unan luch 
neutral;evicting assang is against your constitution is an asyle and citiz this is political suicideexpuls assang est constitucin asil ciudadan suicidi poltic
neutral;carlit cre becerr oro result dol barr mameluc
neutral;president asist cumbr mundial discapac especulacin insult dao convivent ciudadan coment hech
neutral;merec ms agro levant man presi 
neutral;deber auster objet viaj espos vist profes predic
neutral;obra corre jajaj lerdin
neutral;oracion espos robolucionari cieg seguidor carlit ali mashi orden captur 
